student_id,name,institution,attendance_rate,assignment_submission_rate,lms_login_frequency,avg_session_time,grades,engagement_score,attendance_submission_ratio,attendance_lms_interaction,dropout_risk
KOL-2026000,Ekavir Balan,Jadavpur University,80.93,61.13,6.3,73.1,55.32,62.16,1.3,507.17,0
KOL-2026001,Samar Keer,Jadavpur University,100.0,86.49,2.4,48.6,50.73,69.65,1.14,235.68,0
KOL-2026002,Aditya Kala,St. Xavier's College,75.32,11.43,0.0,20.9,39.74,27.17,6.06,0.0,1
KOL-2026003,Tarak Sekhon,University of Calcutta,50.02,25.46,9.1,29.4,61.35,44.75,1.89,456.7,0
KOL-2026004,Sachi Parikh,University of Calcutta,58.02,68.11,0.0,44.4,47.99,44.65,0.84,0.0,1
KOL-2026005,Caleb Malhotra,University of Calcutta,56.76,100.0,4.0,8.6,76.45,65.5,0.56,224.37,0
KOL-2026006,Bhavna Venkataraman,Jadavpur University,74.59,10.13,0.0,39.9,74.77,26.43,6.7,0.0,1
KOL-2026007,Anamika Chada,Jadavpur University,67.46,56.57,0.0,17.0,50.79,42.86,1.17,0.0,1
KOL-2026008,Krishna Sengupta,Presidency University,77.56,15.63,5.1,25.4,46.46,40.52,4.66,398.21,1
KOL-2026009,Charita Dutta,Jadavpur University,92.68,91.08,1.1,27.3,66.63,66.51,1.01,98.5,1
KOL-2026010,Daksha Agrawal,Jadavpur University,59.46,59.8,0.1,5.1,76.25,42.03,0.98,7.6,1
KOL-2026011,Dev Naidu,Jadavpur University,68.42,93.1,5.3,18.9,67.23,69.05,0.73,360.26,0
KOL-2026012,Ridhi Ramanathan,University of Calcutta,69.21,100.0,0.0,55.5,61.74,60.76,0.69,0.0,1
KOL-2026013,Bhanumati Sarin,University of Calcutta,72.02,9.35,3.2,43.9,89.56,32.27,6.96,232.7,1
KOL-2026014,Ronith Kata,Jadavpur University,52.21,50.95,7.2,43.2,49.4,51.48,1.01,376.14,0
KOL-2026015,Ethan Bera,University of Calcutta,72.14,92.12,1.5,26.8,52.16,61.8,0.77,111.29,0
KOL-2026016,Madhavi Chanda,Presidency University,76.51,72.31,4.0,29.1,31.69,60.49,1.04,307.43,0
KOL-2026017,Luke Sawhney,University of Calcutta,62.46,42.54,3.4,45.1,97.72,43.11,1.43,214.58,0
KOL-2026018,Rachana Mangal,Presidency University,75.67,62.92,0.0,34.3,61.2,47.87,1.18,0.0,1
KOL-2026019,Christopher Samra,St. Xavier's College,65.77,73.44,3.9,5.8,82.86,57.42,0.88,255.08,0
KOL-2026020,Charles Pingle,Jadavpur University,87.4,39.54,8.9,2.0,71.74,61.13,2.16,778.74,0
KOL-2026021,Matthew Bajwa,University of Calcutta,48.21,49.14,4.3,22.4,28.99,43.44,0.96,209.65,0
KOL-2026022,Arunima Varma,Presidency University,46.63,78.26,0.8,73.7,44.33,46.97,0.59,36.46,1
KOL-2026023,Warinder Patla,St. Xavier's College,87.9,30.54,4.8,67.7,27.85,48.86,2.79,421.57,0
